x,f(x)
-3.000000,7.015253
-2.900000,4.058353
-2.800000,2.812703
-2.700000,2.115383
-2.600000,1.662243
-2.500000,1.338648
-2.400000,1.091686
-2.300000,0.893484
-2.200000,0.727896
-2.100000,0.584848
-2.000000,0.457658
-1.900000,0.341635
-1.800000,0.233304
-1.700000,0.129927
-1.600000,0.029212
-1.500000,-0.070915
-1.400000,-0.172477
-1.300000,-0.277616
-1.200000,-0.388780
-1.100000,-0.508968
-1.000000,-0.642093
-0.900000,-0.793551
-0.800000,-0.971215
-0.700000,-1.187242
-0.600000,-1.461696
-0.500000,-1.830488
-0.400000,-2.365222
-0.300000,-3.232728
-0.200000,-4.933155
-0.100000,-9.966644
0.000000,undefined
0.100000,9.966644
0.200000,4.933155
0.300000,3.232728
0.400000,2.365222
0.500000,1.830488
0.600000,1.461696
0.700000,1.187242
0.800000,0.971215
0.900000,0.793551
1.000000,0.642093
1.100000,0.508968
1.200000,0.388780
1.300000,0.277616
1.400000,0.172477
1.500000,0.070915
1.600000,-0.029212
1.700000,-0.129927
1.800000,-0.233304
1.900000,-0.341635
2.000000,-0.457658
2.100000,-0.584848
2.200000,-0.727896
2.300000,-0.893484
2.400000,-1.091686
2.500000,-1.338648
2.600000,-1.662243
2.700000,-2.115383
2.800000,-2.812703
2.900000,-4.058353
3.000000,-7.015253
3.100000,-24.028842
3.200000,17.101660
3.300000,6.259948
3.400000,3.783337
3.500000,2.669616
3.600000,2.026479
3.700000,1.600684
3.800000,1.292731
3.900000,1.055493
4.000000,0.863691
4.100000,0.702481
4.200000,0.562499
4.300000,0.437474
4.400000,0.322964
4.500000,0.215641
4.600000,0.112865
4.700000,0.012390
4.800000,-0.087836
4.900000,-0.189844
5.000000,-0.295813
5.100000,-0.408265
5.200000,-0.530323
5.300000,-0.666101
5.400000,-0.821328
5.500000,-1.004436
5.600000,-1.228587
5.700000,-1.515770
5.800000,-1.905974
5.900000,-2.480707
6.000000,-3.436353
6.100000,-5.397754
6.200000,-11.993613
6.300000,59.466192
6.400000,8.521593
6.500000,4.539734
6.600000,3.050101
6.700000,2.258573
6.800000,1.759510
6.900000,1.410216
7.000000,1.147515
7.100000,0.939061
7.200000,0.766506
7.300000,0.618597
7.400000,0.487975
7.500000,0.369547
7.600000,0.259587
7.700000,0.155210
7.800000,0.054034
7.900000,-0.046051
8.000000,-0.147065
8.100000,-0.251105
8.200000,-0.360523
8.300000,-0.478154
8.400000,-0.607640
8.500000,-0.753941
8.600000,-0.924187
8.700000,-1.129233
8.800000,-1.386680
8.900000,-1.727344
9.000000,-2.210845
9.100000,-2.969998
9.200000,-4.373655
9.300000,-7.972600
9.400000,-40.350187
9.500000,13.268893
9.600000,5.648517
9.700000,3.541223
9.800000,2.538825
9.900000,1.943435
10.000000,1.542351
