x,f(x)
-3.000000,undefined
-2.900000,undefined
-2.800000,undefined
-2.700000,undefined
-2.600000,undefined
-2.500000,undefined
-2.400000,undefined
-2.300000,undefined
-2.200000,undefined
-2.100000,undefined
-2.000000,undefined
-1.900000,undefined
-1.800000,undefined
-1.700000,undefined
-1.600000,undefined
-1.500000,undefined
-1.400000,undefined
-1.300000,undefined
-1.200000,undefined
-1.100000,undefined
-1.000000,undefined
-0.900000,undefined
-0.800000,undefined
-0.700000,undefined
-0.600000,undefined
-0.500000,undefined
-0.400000,undefined
-0.300000,undefined
-0.200000,undefined
-0.100000,undefined
0.000000,-31.730090
0.100000,-3.321928
0.200000,-2.321928
0.300000,-1.736966
0.400000,-1.321928
0.500000,-1.000000
0.600000,-0.736966
0.700000,-0.514573
0.800000,-0.321928
0.900000,-0.152003
1.000000,0.000000
1.100000,0.137504
1.200000,0.263034
1.300000,0.378512
1.400000,0.485427
1.500000,0.584963
1.600000,0.678072
1.700000,0.765535
1.800000,0.847997
1.900000,0.925999
2.000000,1.000000
2.100000,1.070389
2.200000,1.137504
2.300000,1.201634
2.400000,1.263034
2.500000,1.321928
2.600000,1.378512
2.700000,1.432959
2.800000,1.485427
2.900000,1.536053
3.000000,1.584963
3.100000,1.632268
3.200000,1.678072
3.300000,1.722466
3.400000,1.765535
3.500000,1.807355
3.600000,1.847997
3.700000,1.887525
3.800000,1.925999
3.900000,1.963474
4.000000,2.000000
4.100000,2.035624
4.200000,2.070389
4.300000,2.104337
4.400000,2.137504
4.500000,2.169925
4.600000,2.201634
4.700000,2.232661
4.800000,2.263034
4.900000,2.292782
5.000000,2.321928
5.100000,2.350497
5.200000,2.378512
5.300000,2.405992
5.400000,2.432959
5.500000,2.459432
5.600000,2.485427
5.700000,2.510962
5.800000,2.536053
5.900000,2.560715
6.000000,2.584963
6.100000,2.608809
6.200000,2.632268
6.300000,2.655352
6.400000,2.678072
6.500000,2.700440
6.600000,2.722466
6.700000,2.744161
6.800000,2.765535
6.900000,2.786596
7.000000,2.807355
7.100000,2.827819
7.200000,2.847997
7.300000,2.867896
7.400000,2.887525
7.500000,2.906891
7.600000,2.925999
7.700000,2.944858
7.800000,2.963474
7.900000,2.981853
8.000000,3.000000
8.100000,3.017922
8.200000,3.035624
8.300000,3.053111
8.400000,3.070389
8.500000,3.087463
8.600000,3.104337
8.700000,3.121015
8.800000,3.137504
8.900000,3.153805
9.000000,3.169925
9.100000,3.185867
9.200000,3.201634
9.300000,3.217231
9.400000,3.232661
9.500000,3.247928
9.600000,3.263034
9.700000,3.277985
9.800000,3.292782
9.900000,3.307429
10.000000,3.321928
