x,f(x)
-1.500000,-14.101420
-1.400000,-5.797884
-1.300000,-3.602102
-1.200000,-2.572152
-1.100000,-1.964760
-1.000000,-1.557408
-0.900000,-1.260158
-0.800000,-1.029639
-0.700000,-0.842288
-0.600000,-0.684137
-0.500000,-0.546302
-0.400000,-0.422793
-0.300000,-0.309336
-0.200000,-0.202710
-0.100000,-0.100335
0.000000,0.000000
0.100000,0.100335
0.200000,0.202710
0.300000,0.309336
0.400000,0.422793
0.500000,0.546302
0.600000,0.684137
0.700000,0.842288
0.800000,1.029639
0.900000,1.260158
1.000000,1.557408
1.100000,1.964760
1.200000,2.572152
1.300000,3.602102
1.400000,5.797884
1.500000,14.101420
